id,file_id,line,point,fleet_nr,vibrator,drive,avg_phase,peak_phase,avg_dist,peak_dist,avg_force,peak_force,avg_stiffness,avg_viscosity,easting,northing,elevation,time_break,hdop,tb_date,positioning,distance,time,velocity,dense_flag
"7957429","313","5011","1951", ,"12","75","1","6","10","21","66","78","17","7",534118.1,2375369.6,112,2023/10/26 17:13:51.448,0.7,"    1698311631448000","
",21.8057331908808,16.5,1.32155958732611,"0"
"7957436","313","5011","1953", ,"12","75","2","8","10","16","65","79","10","4",534117.6,2375391.4,112,2023/10/26 17:14:19.976,0.7,"    1698311659976000","
",48.9494637354761,25.5,1.91958681315592,"0"
"7957445","313","5011","1957", ,"12","75","1","7","10","18","66","76","11","5",534115.4,2375440.3,112,2023/10/26 17:14:57.136,0.7,"    1698311697136000","
",31.8276609256791,32.5,0.979312643867049,"0"
"7957456","313","5013","1955", ,"12","75","2","7","14","32","60","77","8","3",534138.4,2375418.3,111.9,2023/10/26 17:15:41.288,0.7,"    1698311741288000","
",25.6826789878848,17.5,1.46758165645056,"0"
"7957465","313","5013","1953", ,"12","75","1","6","12","25","65","78","10","4",534142.2,2375392.9,111.7,2023/10/26 17:16:10.544,0.7,"    1698311770544000","
",26.604698833194,15.5,1.71643218278671,"0"
"7957473","313","5013","1951", ,"12","75","1","7","9","14","66","77","9","4",534142.7,2375366.3,111.3,2023/10/26 17:16:37.704,0.7,"    1698311797704000","
",21.6020832325002,15.5,1.39368278919356,"0"
"7957481","313","5013","1949", ,"12","75","1","7","10","18","64","78","7","3",534142.4,2375344.7,111.3,2023/10/26 17:17:05.176,0.7,"    1698311825176000","
",20.4039211918015,21.5,0.949019590316351,"0"
"7957490","313","5015","1949", ,"12","75","1","6","8","14","67","78","9","3",534162.8,2375344.3,111.1,2023/10/26 17:17:39.088,0.7,"    1698311859088000","
",47.5741526462443,27.5,1.72996918713615,"0"
"7957504","313","5015","1953", ,"12","75","1","8","9","13","63","78","9","3",534169.5,2375391.4,111.1,2023/10/26 17:18:18.160,0.7,"    1698311898160000","
",35.3543490961638,38.5,0.918294781718541,"0"
"7957514","313","5015","1955", ,"12","75","1","6","10","22","66","77","16","6",534172.8,2375426.6,112.1,2023/10/26 17:19:08.792,0.7,"    1698311948792000","
",18.3480244165982,13.5,1.35911291974802,"0"
"7957522","313","5015","1957", ,"12","75","1","7","9","21","66","78","14","6",534165.2,2375443.3,112.5,2023/10/26 17:19:33.968,0.7,"    1698311973968000","
",33.6772920527257,22.5,1.4967685356767,"0"
"7957532","313","5013","1959", ,"12","75","2","7","14","33","64","77","14","6",534142.2,2375467.9,111.7,2023/10/26 17:20:08.840,0.7,"    1698312008840000","
",24.8847342762736,18.5,1.34512077169046,"0"
"7957540","313","5011","1959", ,"12","75","1","7","11","18","65","79","10","4",534120.8,2375480.6,111.2,2023/10/26 17:20:39.384,0.7,"    1698312039384000","
",12.7314571043933,14.5,0.878031524440915,"1"
"7957547","313","5011","1961", ,"12","75","1","8","9","13","67","78","10","4",534113.6,2375491.1,111.3,2023/10/26 17:21:06.336,0.7,"    1698312066336000","
",20.1400099305215,17.5,1.15085771031551,"0"
"7957910","313","5015","1821", ,"14","75","2","8","9","12","64","77","6","3",534165.6,2373740.6,107.4,2023/10/26 17:40:40.816,0.6,"    1698313240816000","
",25.1007968001955,51.5,0.487394112625155,"0"
"7958649","313","5011","2003", ,"12","75","1","8","10","18","66","78","11","3",534115.8,2376017.6,113.2,2023/10/26 18:26:51.232,0.9,"    1698316011232000","
",25.4385534178932,21.5,1.1831885310648,"0"
