label, easting, northing
30,533668,2372034
129,533813,2372045
12,533616,2372245
49,533694,2372344
73,533716,2372392
114,533789,2372371
153,533840,2372167
162,533878,2372017
131,533813,2372120
99,533765,2372142
182,533891,2372294
50,533694,2372319
217,533940,2372093
17,533641,2372368
98,533764,2372095
36,533665,2372218
69,533717,2372218
190,533891,2372041
134,533818,2372219
61,533714,2371992
106,533770,2372368
28,533666,2371966
93,533739,2371970
103,533768,2372293
89,533742,2372119
2,533593,2372445
7,533616,2372394
5,533618,2372491
42,533665,2372442
104,533766,2372318
15,533642,2372445
206,533916,2372394
124,533791,2372044
83,533739,2372293
213,533941,2372218
141,533815,2372444
133,533819,2372194
194,533911,2371969
118,533792,2372243
169,533864,2372271
135,533815,2372244
214,533942,2372194
8,533614,2372367
170,533867,2372295
152,533841,2372197
126,533791,2371996
84,533740,2372269
32,533667,2372116
52,533690,2372243
26,533640,2372040
78,533744,2372468
48,533693,2372369
127,533820,2371968
215,533940,2372168
204,533916,2372320
94,533765,2371972
147,533843,2372390
184,533893,2372242
202,533916,2372246
121,533792,2372143
122,533792,2372119
155,533842,2372093
47,533693,2372395
158,533837,2372025
10,533618,2372317
21,533644,2372243
177,533890,2372492
31,533668,2372092
138,533815,2372343
29,533663,2371991
79,533742,2372421
143,533815,2372492
137,533814,2372317
56,533693,2372122
139,533815,2372370
38,533667,2372292
208,533914,2372445
173,533865,2372395
1,533591,2372423
150,533843,2372268
193,533918,2371953
196,533916,2372045
96,533766,2372018
183,533889,2372267
57,533695,2372092
179,533891,2372418
211,533940,2372294
95,533766,2371996
159,533839,2371966
119,533791,2372219
66,533716,2372119
40,533663,2372368
188,533893,2372118
18,533640,2372342
148,533840,2372344
199,533916,2372143
85,533741,2372242
22,533641,2372217
105,533767,2372345
11,533616,2372294
77,533745,2372493
128,533819,2371996
109,533765,2372467
34,533667,2372168
140,533814,2372392
41,533668,2372394
115,533790,2372345
156,533843,2372070
91,533740,2372044
201,533916,2372191
81,533743,2372367
168,533868,2372220
180,533891,2372369
178,533891,2372442
59,533692,2372017
88,533740,2372144
205,533917,2372344
72,533716,2372342
145,533841,2372439
86,533741,2372193
100,533761,2372170
55,533692,2372145
76,533717,2372469
195,533919,2371985
197,533917,2372069
167,533867,2372191
163,533867,2372069
16,533641,2372419
198,533917,2372119
144,533842,2372494
25,533640,2372118
212,533939,2372269
220,533938,2372014
60,533691,2371969
51,533690,2372268
210,533941,2372343
44,533666,2372493
74,533715,2372423
146,533842,2372416
4,533590,2372493
111,533794,2372468
13,533617,2372217
87,533740,2372168
165,533866,2372143
117,533790,2372267
166,533865,2372167
27,533643,2372019
108,533767,2372442
92,533740,2371989
218,533940,2372071
65,533715,2372094
113,533794,2372420
191,533889,2372017
54,533691,2372193
142,533815,2372467
130,533816,2372091
189,533890,2372091
219,533938,2372034
67,533715,2372171
6,533615,2372422
186,533888,2372165
33,533667,2372142
187,533888,2372140
185,533888,2372218
58,533690,2372031
125,533791,2372018
203,533915,2372294
132,533813,2372143
209,533914,2372468
68,533716,2372194
97,533763,2372069
120,533794,2372168
9,533617,2372343
37,533666,2372269
75,533715,2372443
23,533641,2372191
221,533948,2371999
174,533867,2372419
149,533842,2372293
151,533843,2372241
39,533666,2372343
82,533741,2372320
164,533867,2372093
136,533814,2372291
101,533770,2372222
171,533866,2372320
63,533719,2372042
157,533843,2372040
102,533766,2372243
216,533940,2372146
207,533916,2372417
161,533870,2371996
172,533867,2372370
53,533691,2372221
90,533741,2372068
43,533665,2372468
19,533639,2372319
181,533892,2372318
45,533692,2372494
200,533916,2372168
175,533867,2372469
20,533642,2372268
70,533716,2372266
154,533841,2372117
71,533715,2372294
64,533715,2372069
116,533789,2372318
3,533593,2372468
192,533885,2371968
35,533666,2372191
62,533717,2372022
24,533637,2372145
110,533764,2372492
107,533766,2372418
14,533641,2372470
123,533793,2372068
176,533866,2372494
46,533692,2372443
80,533744,2372393
112,533795,2372444
160,533869,2371972
