label,easting,northing
100,533761.0,2372170.0
86,533741.0,2372193.0
68,533716.0,2372194.0
69,533717.0,2372218.0
70,533716.0,2372266.0
71,533715.0,2372294.0
72,533716.0,2372342.0
73,533716.0,2372392.0
74,533715.0,2372423.0
75,533715.0,2372443.0
76,533717.0,2372469.0
77,533745.0,2372493.0
110,533764.0,2372492.0
111,533794.0,2372468.0
112,533795.0,2372444.0
113,533794.0,2372420.0
114,533789.0,2372371.0
115,533790.0,2372345.0
116,533789.0,2372318.0
117,533790.0,2372267.0
118,533792.0,2372243.0
119,533791.0,2372219.0
120,533794.0,2372168.0
99,533765.0,2372142.0
121,533792.0,2372143.0
132,533813.0,2372143.0
154,533841.0,2372117.0
155,533842.0,2372093.0
156,533843.0,2372070.0
157,533843.0,2372040.0
163,533867.0,2372069.0
164,533867.0,2372093.0
189,533890.0,2372091.0
197,533917.0,2372069.0
196,533916.0,2372045.0
190,533891.0,2372041.0
191,533889.0,2372017.0
162,533878.0,2372017.0
161,533870.0,2371996.0
158,533837.0,2372025.0
129,533813.0,2372045.0
130,533816.0,2372091.0
131,533813.0,2372120.0
122,533792.0,2372119.0
89,533742.0,2372119.0
66,533716.0,2372119.0
65,533715.0,2372094.0
64,533715.0,2372069.0
63,533719.0,2372042.0
62,533717.0,2372022.0
61,533714.0,2371992.0
60,533691.0,2371969.0
28,533666.0,2371966.0
29,533663.0,2371991.0
27,533643.0,2372019.0
26,533640.0,2372040.0
30,533668.0,2372034.0
59,533692.0,2372017.0
58,533690.0,2372031.0
57,533695.0,2372092.0
56,533693.0,2372122.0
55,533692.0,2372145.0
23,533641.0,2372191.0
22,533641.0,2372217.0
21,533644.0,2372243.0
20,533642.0,2372268.0
19,533639.0,2372319.0
18,533640.0,2372342.0
17,533641.0,2372368.0
16,533641.0,2372419.0
15,533642.0,2372445.0
14,533641.0,2372470.0
5,533618.0,2372491.0
4,533590.0,2372493.0
3,533593.0,2372468.0
2,533593.0,2372445.0
1,533591.0,2372423.0
6,533615.0,2372422.0
7,533616.0,2372394.0
8,533614.0,2372367.0
9,533617.0,2372343.0
10,533618.0,2372317.0
11,533616.0,2372294.0
12,533616.0,2372245.0
13,533617.0,2372217.0
24,533637.0,2372145.0
25,533640.0,2372118.0
31,533668.0,2372092.0
32,533667.0,2372116.0
33,533667.0,2372142.0
34,533667.0,2372168.0
35,533666.0,2372191.0
36,533665.0,2372218.0
37,533666.0,2372269.0
38,533667.0,2372292.0
39,533666.0,2372343.0
40,533663.0,2372368.0
41,533668.0,2372394.0
42,533665.0,2372442.0
43,533665.0,2372468.0
44,533666.0,2372493.0
45,533692.0,2372494.0
46,533692.0,2372443.0
47,533693.0,2372395.0
48,533693.0,2372369.0
49,533694.0,2372344.0
50,533694.0,2372319.0
51,533690.0,2372268.0
52,533690.0,2372243.0
