id,easting,northing
7898332,532016.9,2376471.2
7898341,532017,2376495.2
7898351,532014.8,2376544.7
7898363,532015.7,2376596.3
7898372,532016.4,2376620.6
7898383,532017.3,2376647.1
7898393,532017.4,2376673.1
7898411,532041.3,2376642.4
7898419,532041.7,2376617
7898429,532040.8,2376568
7898439,532042.1,2376515.6
7898448,532042.1,2376493.4
7898533,532064.8,2376472.8
7898544,532065.1,2376519.2
7898552,532064.8,2376547
7898560,532065.2,2376570.8
7898570,532065.9,2376597.1
7898581,532066.3,2376646.8
7898588,532066.5,2376671.9
7898604,532091.3,2376667.2
7898613,532092,2376642.1
7898622,532092.2,2376618.2
7898631,532093.1,2376591.3
7898641,532092.3,2376517
7898651,532092.1,2376491.6
7898729,532114.4,2376495.3
7898737,532116.8,2376522.4
7898746,532118.1,2376547.3
7898757,532116.7,2376571.9
7898766,532115.1,2376623.5
7898777,532114.9,2376645.6
7898786,532116,2376671.3
7898798,532140.9,2376668.7
7898806,532141.1,2376641.5
7898813,532141.6,2376591.9
7898824,532141.7,2376567.4
7898832,532140.3,2376539.7
7898843,532140,2376520.5
7898852,532140.5,2376470.6
7898901,532167.6,2376472.3
7898912,532168,2376495
7898925,532166.6,2376543.3
7898936,532166.1,2376572.4
7898946,532166.4,2376598.2
7898960,532165.8,2376620.3
7901634,532017.4,2377268
7901644,532016.2,2377242.6
7901656,532015.9,2377194.4
7901664,532016.3,2377168.3
7901676,532016.6,2377119.1
7901685,532017,2377093.1
7901693,532017.4,2377068.7
7901704,532016.4,2377019.3
7901712,532016.2,2376993.6
7901721,532016.7,2376966.8
7901730,532016.7,2376944.9
7901739,532016.7,2376919
7901750,532015.7,2376868.5
7901760,532015.4,2376843.8
7901771,532016.8,2376819.4
7901783,532017.1,2376769.2
7901794,532017.1,2376742.5
7901807,532016.4,2376692.3
7901818,532039.3,2376696.1
7901826,532039.4,2376718
7901835,532039.7,2376744.2
7901846,532041,2376794
7901855,532040.7,2376819
7901862,532040.8,2376844.2
7901873,532041.2,2376894
7901882,532040.9,2376918.1
7901891,532041.2,2376943.7
7901898,532041.5,2376969.9
7901905,532041.7,2377019
7901914,532041.5,2377043.8
7901923,532040.8,2377068.7
7901931,532040.5,2377095.3
7901940,532041.6,2377144
7901947,532042.1,2377169.3
7901956,532042.4,2377193.7
7901964,532042.3,2377217
7901976,532041.1,2377295.3
7902780,532065.5,2377293.9
7902790,532065.7,2377268
7902799,532065.9,2377243.9
7902806,532066.2,2377218.4
7902818,532065.7,2377169
7902829,532066.5,2377142.9
7902836,532066.4,2377119.1
7902847,532066.1,2377069.3
7902853,532066.1,2377045.2
7902862,532065.8,2377018.3
7902872,532066.2,2376994.4
7902884,532065.8,2376944.3
7902896,532065.9,2376894.6
7902905,532066.3,2376869.2
7902913,532066.3,2376817.6
7902921,532065.9,2376794.5
7902931,532066,2376769.9
7902942,532066.3,2376721
7902951,532066.3,2376693.9
7902965,532090.6,2376719.1
7902974,532089.8,2376742.7
7902986,532091.7,2376795.3
7902995,532091.1,2376818.2
7903003,532091.4,2376844.1
7903014,532091.3,2376869.8
7903022,532091.1,2376893.4
7903031,532092.2,2376944.3
7903041,532091.8,2376970.5
7903055,532092.5,2377017.8
7903064,532091.4,2377043.3
7903077,532091,2377094
7903088,532090.3,2377117.7
7903101,532090.5,2377145
7903108,532091,2377168.6
7903118,532091.2,2377216.8
7903130,532092.5,2377242.1
7903136,532092,2377268.1
7903734,532115.8,2377320.3
7903741,532115.7,2377295.2
7903751,532114.9,2377219.9
7903759,532115.5,2377193
7903770,532116.4,2377170.5
7903778,532116.8,2377142.8
7903787,532115.1,2377093
7903795,532115.1,2377069.4
7903804,532116,2377044.6
7903812,532115.3,2377019.3
7903822,532115.4,2376994.4
7903834,532116,2376919.2
7903843,532116.4,2376893.6
7903849,532116.3,2376869.6
7903860,532115.6,2376843.7
