node,easting,northing
223,369259.9,2460231.2
228,369261.2,2460260.7
2425,369259.2,2459382.9
2433,369258.9,2459409
2444,369207.8,2459407.1
2453,369181.7,2459406.7
2468,369160.2,2459410.1
2477,369107.8,2459406.8
2484,369082.5,2459406.9
2503,369057.7,2459408.4
2511,369034.1,2459407.2
2521,368982.8,2459409.1
2528,368957.6,2459407.3
2535,368938.1,2459405.8
2544,368887,2459408.9
2552,368883.6,2459385
2559,368908.6,2459385.4
2566,368960.9,2459383.5
2573,368983.2,2459381.6
2581,369007.6,2459380.5
2587,369056.5,2459381.3
2593,369082.8,2459381.2
2601,369135.6,2459381.1
2609,369159.5,2459381.7
2616,369185.7,2459382.3
2623,369233.5,2459379.9
2632,369238.4,2459358
2639,369211.4,2459358.6
2649,369161.4,2459358.9
2654,369136.3,2459358.6
2662,369109,2459357.8
2670,369085.3,2459358.6
2677,369034.2,2459358.9
2684,369009.5,2459360.1
2692,368983.8,2459360.8
2921,369231.8,2460356.7
2928,369208.8,2460355.9
2935,369160.7,2460357.2
2941,369133.5,2460357.9
2948,369084.5,2460356.1
2954,369060.6,2460356.4
2962,369033.8,2460357.4
2969,369008,2460357
2974,368983.1,2460356.7
2983,368936.2,2460358.9
2990,368907.3,2460359.3
2995,368883.9,2460358.7
3002,368883.1,2460330
3009,368907.6,2460329.5
3018,368958.9,2460331.6
3023,368985.8,2460331.9
3030,369011.1,2460331.1
3039,369058.1,2460332
3047,369111.4,2460331.8
3055,369135.2,2460331.4
3062,369160.5,2460331.9
3066,369186.3,2460332.5
3075,369233,2460332.6
3085,369208.6,2460305.2
3094,369182.4,2460306.5
3100,369158.5,2460306.8
3107,369131.7,2460306.5
3115,369106.9,2460306.2
3122,369060.8,2460306.1
3131,369009.4,2460306.8
3139,368984.7,2460306.9
3147,368958,2460308.1
3154,368930.2,2460308
3163,368908.8,2460307.6
3172,368887.2,2460278.9
3180,368936.5,2460279.8
3189,368982.1,2460282.5
3197,369011.4,2460281.1
3205,369036.9,2460281.4
3213,369084,2460282.2
3221,369111.3,2460282.6
3228,369137.1,2460282.2
3235,369160.1,2460281.1
3244,369206.5,2460283.1
3252,369234.2,2460283.2
3262,369231.8,2460256.9
3271,369188.1,2460256.8
3275,369160.6,2460256.5
3283,369133.3,2460258.5
3291,369084.9,2460257
3299,369058.2,2460256.4
3306,369032.1,2460257.3
3314,368983.5,2460257.9
3321,368957.1,2460257.9
3329,368909.8,2460258.5
3336,368883.2,2460257.4
3344,368884.2,2460231.2
3351,368912.6,2460231.2
3359,368937.7,2460230.9
3364,368961,2460231.3
3374,369009.6,2460232.9
3379,369034.5,2460232.5
3387,369059.4,2460232.3
3395,369089.7,2460231.6
3403,369110.6,2460231.7
3409,369160.1,2460231.5
3417,369187.1,2460231
3423,369212.4,2460231.7
3430,369237.8,2460231.6
3438,369260,2460203.5
3447,369233.6,2460205.1
3454,369206,2460205.5
3461,369182,2460205.8
3469,369108.8,2460207.4
3477,369082.7,2460207.6
3484,369059.5,2460207.9
3490,369011.1,2460206.6
3496,368983.8,2460206.3
3504,368960.1,2460206.1
3509,368933.6,2460206.7
3517,368909.2,2460208.1
3526,368882.3,2460209.4
3535,368908.7,2460181.7
3541,368932.4,2460181
3550,368984.3,2460183
3558,369012.1,2460183.1
3566,369036.7,2460182.4
3575,369062,2460181.9
3582,369085.6,2460181.8
3590,369134.4,2460182.3
3599,369159.4,2460182.4
3608,369209.4,2460182.8
3617,369235.1,2460183
3629,369258.2,2460156.4
3633,369234.1,2460156.8
3642,369187.4,2460157.4
3651,369163,2460157.8
3659,369135.1,2460157
3667,369110.9,2460155.8
3673,369084.2,2460157.1
3680,369037,2460156.5
3690,368987.6,2460157.9
3696,368959.8,2460159.6
3702,368933.2,2460157.5
3710,368882.4,2460158.1
3718,368885.2,2460131.6
3724,368909.8,2460130.8
3732,368956.5,2460131.2
3740,369008.1,2460131.2
3747,369037.8,2460131.4
3753,369060.4,2460131.2
3762,369109.5,2460133.7
3768,369135.4,2460132
3774,369161.7,2460131.7
3779,369186.2,2460132.2
3787,369211.9,2460133.2
3794,369257.6,2460131
3807,369261.8,2460106
3816,369260.3,2460080.5
3825,369259,2460034.3
3831,369259.1,2460007
3838,369259.3,2459957.6
3845,369260.6,2459933
3852,369260.2,2459909.1
3863,369258.6,2459859.6
3868,369258.7,2459829.9
3875,369258.9,2459808.3
3880,369259.3,2459761.8
3888,369259.6,2459733.8
3893,369260.1,2459683.7
3900,369260.3,2459657.6
3906,369260.1,2459634.1
3914,369259.7,2459608.3
3921,369259.7,2459583.6
3926,369259.8,2459558.6
3940,369258.6,2459509.5
3949,369258.5,2459456
3955,369258.7,2459432.4
3964,369233.5,2459430.6
3972,369210.2,2459432.6
3981,369159.7,2459434.1
3986,369135.1,2459434.3
3994,369110.8,2459433.1
4001,369080.5,2459431.6
4009,369034.9,2459432.4
4018,368985.4,2459432
4025,368957.7,2459432.8
4033,368932.3,2459432.1
4040,368909.5,2459431.4
4050,368859.6,2459403.8
4056,368859.1,2459383
4286,368861.2,2460333.1
4293,368860.4,2460309.9
4302,368859.2,2460282.9
4310,368859.1,2460257.8
4328,368861.5,2460185
4339,368883.2,2460107.9
4347,368908.2,2460104.8
4358,368960.1,2460105.3
4384,369010.5,2460105.2
4391,369033.6,2460106.1
4398,369060.2,2460106.6
4407,369109.6,2460106.8
4416,369134.2,2460106.4
4425,369186,2460104.7
4432,369209,2460106.6
4438,369232.7,2460106.5
4446,369235.6,2460082.3
4452,369209.8,2460081.7
4459,369159.4,2460083
4464,369133.3,2460083.3
4472,369107.6,2460083.6
4478,369084.8,2460083.7
4483,369034.2,2460084
4492,368984.7,2460086.3
4498,368959.9,2460084.2
4505,368935.4,2460082.4
4511,368908.2,2460081.2
