label,easting,northing
13989,368785.4,2460358.2
13983,368760.6,2460357.8
13973,368709.5,2460357.0
13967,368685.4,2460354.8
13961,368660.1,2460356.0
13885,368635.1,2460331.8
13891,368609.9,2460331.8
13895,368585.7,2460330.5
13762,368561.3,2460308.0
13717,368559.8,2460280.0
13588,368559.3,2460258.2
13346,368560.7,2460207.8
13278,368608.9,2460181.0
13157,368610.2,2460157.0
13085,368610.7,2460129.0
12963,368610.6,2460109.0
12884,368634.5,2460080.0
12668,368659.6,2460031.8
12491,368658.2,2459983.0
12405,368686.6,2459958.5
12323,368683.3,2459931.0
19412,368684.8,2459881.0
19329,368714.0,2459907.5
19338,368738.9,2459907.2
12313,368734.0,2459931.0
12412,368710.8,2459958.0
12483,368707.1,2459980.0
12585,368711.4,2460009.5
12659,368709.2,2460029.0
12770,368710.7,2460055.5
12984,368709.1,2460107.2
13057,368733.5,2460128.5
13177,368709.2,2460157.2
13254,368709.8,2460181.0
13374,368687.4,2460208.5
13502,368683.3,2460233.0
13617,368684.4,2460258.0
13694,368659.2,2460280.0
13699,368633.7,2460280.8
13708,368611.2,2460281.8
13596,368585.5,2460257.8
13769,368584.1,2460306.5
13776,368608.8,2460308.8
13787,368658.4,2460308.5
13796,368685.6,2460308.8
13685,368708.8,2460282.8
13494,368709.7,2460234.5
13381,368711.3,2460207.5
13245,368735.3,2460184.0
13186,368759.1,2460159.2
13049,368758.4,2460130.5
12993,368761.4,2460108.8
12839,368782.2,2460080.8
12801,368812.9,2460058.0
12630,368834.4,2460030.5
12616,368860.5,2460008.0
4876,368885.0,2460008.0
5045,368912.5,2459982.0
5039,368935.4,2459979.8
5083,368959.4,2459956.0
5228,368960.2,2459933.5
5270,368959.2,2459906.0
5430,368962.4,2459881.5
5479,368936.2,2459857.0
5469,368908.7,2459856.5
5461,368885.1,2459854.0
19731,368858.6,2459829.5
20130,368862.5,2459807.0
5638,368885.5,2459806.5
5632,368886.5,2459833.0
5628,368910.2,2459833.2
5622,368961.9,2459832.2
5489,368982.7,2459857.5
5418,368986.9,2459881.0
5221,368986.2,2459932.8
5090,368983.7,2459955.8
5028,368987.1,2459982.8
4891,368960.6,2460007.5
4885,368936.7,2460006.8
4700,368935.3,2460035.0
4537,368935.3,2460057.5
4505,368935.4,2460082.5
4347,368908.2,2460104.8
4511,368908.2,2460081.2
4529,368908.3,2460057.5
4523,368883.8,2460056.8
4871,368885.8,2460031.2
12624,368861.8,2460032.2
12808,368834.7,2460058.8
12831,368831.8,2460084.8
13007,368809.6,2460109.5
12998,368785.9,2460108.8
13042,368783.2,2460129.8
13193,368784.0,2460157.5
13203,368809.5,2460158.0
13032,368834.9,2460131.5
13016,368859.9,2460110.0
12822,368859.7,2460083.0
4339,368883.2,2460108.0
13024,368861.5,2460134.5
13212,368858.9,2460157.2
4328,368861.5,2460185.0
13220,368836.0,2460182.2
13227,368809.8,2460182.5
13234,368785.8,2460182.5
13396,368762.3,2460208.5
13390,368733.4,2460206.8
13484,368735.4,2460233.5
13627,368735.4,2460258.8
13681,368733.4,2460283.2
13802,368708.8,2460308.2
13876,368685.3,2460332.5
13870,368710.6,2460334.2
13863,368737.0,2460334.2
13855,368760.0,2460332.8
13814,368759.0,2460306.0
13675,368760.6,2460282.5
13634,368760.1,2460259.5
13470,368785.7,2460235.2
13459,368808.7,2460231.8
13405,368810.4,2460209.2
13415,368833.6,2460209.8
13449,368834.8,2460228.5
13651,368834.1,2460257.5
13644,368809.1,2460257.2
13670,368784.6,2460282.0
13823,368785.2,2460306.5
13830,368808.9,2460309.5
13659,368836.2,2460285.5
4310,368859.1,2460257.8
3336,368883.2,2460257.5
3344,368884.2,2460231.2
3526,368882.3,2460209.5
3517,368909.2,2460208.0
3509,368933.6,2460206.8
3541,368932.4,2460181.0
3535,368908.7,2460181.8
3710,368882.4,2460158.0
3718,368885.2,2460131.5
3724,368909.8,2460130.8
3702,368933.2,2460157.5
3696,368959.8,2460159.5
3732,368956.5,2460131.2
4358,368960.1,2460105.2
4498,368959.9,2460084.2
4544,368960.0,2460057.5
4692,368986.5,2460033.0
4684,369010.8,2460030.8
