label,easting,northing
20757,368556,2459730.8
21152,368556,2459681.5
21562,368556.8,2459631.5
12691,368557,2460032
22869,368557,2459481
23571,368557,2459382.8
19438,368557.4,2459882
21999,368557.6,2459582
22379,368558,2459534.2
13096,368558.9,2460131
13588,368559.3,2460258.2
12385,368559.3,2459960.8
12900,368559.6,2460081.8
21368,368559.6,2459655
13717,368559.8,2460280
12509,368560,2459980
12350,368560.2,2459929
13346,368560.7,2460207.8
13142,368560.8,2460159.5
13762,368561.3,2460308
23427,368561.8,2459407
12948,368561.9,2460108.5
20434,368562,2459757.2
22713,368562.5,2459507
23059,368562.5,2459457
19615,368562.6,2459856.8
20047,368562.6,2459806.2
19293,368563.2,2459906.5
21785,368563.8,2459606
19431,368580.2,2459881.8
23251,368581.6,2459431.2
21142,368581.7,2459681.5
21991,368581.7,2459581.5
19813,368583,2459831
12891,368583.3,2460081.8
20748,368583.7,2459732.5
12549,368583.8,2460009
20221,368583.8,2459781.2
13769,368584.1,2460306.5
13354,368584.1,2460206
12503,368584.1,2459980.2
21553,368584.1,2459631.5
23562,368584.3,2459382.8
13535,368584.5,2460230.8
12390,368584.7,2459959.8
13149,368585.4,2460159
13596,368585.5,2460257.8
13895,368585.7,2460330.5
12954,368586,2460108.2
23435,368586.3,2459407
12730,368586.7,2460058.8
13284,368586.8,2460182.8
22718,368587.1,2459505.2
20971,368587.4,2459708
21795,368587.4,2459607.2
22204,368587.8,2459557
20055,368588,2459806.5
23066,368588.1,2459457.5
19301,368588.4,2459906.2
21984,368605.4,2459581.5
19426,368605.5,2459881.5
19806,368606.2,2459831
23244,368606.3,2459432.2
22858,368606.8,2459482.2
21544,368607.2,2459631.8
22367,368607.5,2459532.5
12344,368607.8,2459931.5
20213,368608.5,2459783.8
20739,368608.5,2459733.2
12683,368608.6,2460030.5
12497,368608.6,2459980.8
13776,368608.8,2460308.8
13278,368608.9,2460181
12557,368609.8,2460007.5
13891,368609.9,2460331.8
13157,368610.2,2460157
12963,368610.6,2460109
23441,368610.6,2459407.5
13085,368610.7,2460129
12748,368611.1,2460057.2
13708,368611.2,2460281.8
22728,368611.8,2459504
13527,368612.7,2460232.2
19627,368613,2459856
22213,368613.4,2459556.5
20979,368613.7,2459707.5
21383,368613.9,2459655.2
20443,368614.2,2459757
23236,368630.5,2459432.5
22849,368631,2459482.5
19797,368631.1,2459831
23554,368631.7,2459379.8
21131,368632,2459680.5
20203,368632.6,2459785.2
22360,368632.6,2459531
13271,368633.6,2460180
13699,368633.7,2460280.8
12398,368633.9,2459957
12337,368633.9,2459931
12676,368634,2460031.5
13078,368634.2,2460130.5
12884,368634.5,2460080
13605,368634.6,2460258.5
12564,368635,2460008.5
13885,368635.1,2460331.8
21393,368635.6,2459655
13365,368635.9,2460206.2
13515,368636.5,2460233.5
20067,368636.7,2459807.2
22221,368636.7,2459555.5
12757,368637.3,2460057.8
23074,368637.3,2459457.5
19637,368637.7,2459856
21806,368638.2,2459607.8
20453,368638.4,2459757
19311,368638.5,2459907
20987,368638.9,2459707.5
22842,368656,2459482
20196,368657.9,2459784.5
21971,368658,2459581.8
23546,368658,2459378.5
12491,368658.2,2459983
19418,368658.3,2459880.2
13787,368658.4,2460308.5
13261,368658.5,2460180.8
12876,368658.5,2460081.5
21532,368658.8,2459632.8
13694,368659.2,2460280
21120,368659.2,2459679.5
22739,368659.2,2459506.8
12572,368659.3,2460008.5
19319,368659.5,2459907.8
13612,368659.6,2460259.5
12668,368659.6,2460031.8
12329,368659.6,2459930.5
13071,368659.8,2460131
13961,368660.1,2460356
12970,368660.8,2460107.5
20076,368660.8,2459807
23451,368661,2459408
20994,368661.2,2459707.5
20460,368661.5,2459757
13166,368662.3,2460159
21815,368662.4,2459607.8
22231,368662.4,2459555.8
23082,368662.8,2459458.2
19647,368663.1,2459856.2
21523,368681,2459632.5
20188,368681.2,2459782.8
22834,368681.5,2459481.5
23224,368682.1,2459433.2
13065,368682.5,2460131
19786,368682.5,2459830.8
20712,368682.9,2459733
12867,368683.1,2460080.8
12977,368683.2,2460104.8
13502,368683.3,2460233
12323,368683.3,2459931
13169,368684.1,2460159.5
22350,368684.2,2459530.8
13617,368684.4,2460258
19412,368684.8,2459881
13876,368685.3,2460332.5
12578,368685.3,2460009.5
13967,368685.4,2460354.8
13796,368685.6,2460308.8
12764,368685.7,2460056
21404,368686.2,2459654
23089,368686.5,2459458.5
12405,368686.6,2459958.5
23460,368686.6,2459408.2
20086,368686.9,2459806.8
21001,368686.9,2459708
13374,368687.4,2460208.5
21825,368687.8,2459607.2
22241,368688.3,2459556.8
19656,368688.5,2459856.5
21109,368706,2459681.2
19777,368706.5,2459830.8
23217,368706.7,2459434
21961,368706.9,2459580.2
12483,368707.1,2459980
22342,368707.5,2459531.5
20179,368708,2459781.2
20707,368708.1,2459734.5
23536,368708.5,2459378.8
13802,368708.8,2460308.2
13685,368708.8,2460282.8
12984,368709.1,2460107.2
13177,368709.2,2460157.2
12659,368709.2,2460029
13973,368709.5,2460357
13494,368709.7,2460234.5
13254,368709.8,2460181
13870,368710.6,2460334.2
12770,368710.7,2460055.5
12412,368710.8,2459958
21834,368710.9,2459607
13381,368711.3,2460207.5
12585,368711.4,2460009.5
21008,368711.7,2459707.8
23469,368712.1,2459408.5
20471,368712.7,2459757.2
21413,368712.9,2459655.5
22751,368713.3,2459508
23097,368713.5,2459457.2
19329,368714,2459907.5
19664,368714.1,2459857
21100,368730.2,2459682
22335,368730.6,2459532.2
19768,368731.5,2459831.2
21952,368731.5,2459579.5
12653,368732,2460030
19404,368732,2459881.5
21510,368732,2459632
20700,368732.3,2459733
23528,368732.4,2459380
22824,368732.5,2459480.8
13681,368733.4,2460283.2
13390,368733.4,2460206.8
13057,368733.5,2460128.5
12778,368733.5,2460056.2
12476,368733.8,2459979.2
12313,368734,2459931
23209,368734,2459433.2
12418,368734.6,2459958
12857,368735.1,2460078.5
13245,368735.3,2460184
13627,368735.4,2460258.8
13484,368735.4,2460233.5
20095,368736.3,2459807.5
13863,368737,2460334.2
22756,368737.6,2459508
21423,368738.7,2459654.8
19338,368738.9,2459907.2
20481,368738.9,2459756.5
22252,368739.6,2459557
23520,368755,2459381
22818,368756.5,2459481.2
21090,368756.6,2459682
21942,368756.7,2459581.8
20691,368757.2,2459730.8
19399,368757.6,2459881
12307,368758.1,2459931.2
12848,368758.3,2460079.8
13049,368758.4,2460130.5
12469,368758.5,2459981
13814,368759,2460306
13186,368759.1,2460159.2
20170,368759.2,2459780.2
21433,368759.6,2459654.5
13855,368760,2460332.8
13634,368760.1,2460259.5
12595,368760.2,2460008.5
13983,368760.6,2460357.8
13675,368760.6,2460282.5
12645,368760.8,2460029.5
12993,368761.4,2460108.8
23477,368761.6,2459407.5
13396,368762.3,2460208.5
22765,368762.5,2459508
21845,368762.7,2459607.5
22264,368762.8,2459556.5
21020,368763.1,2459706.5
20491,368763.2,2459756.2
19345,368763.5,2459907.2
19671,368763.6,2459856.2
23110,368764,2459456.8
19393,368780.9,2459881.5
22811,368781,2459482
19757,368781.8,2459831.8
12839,368782.2,2460080.8
23197,368782.4,2459431.8
23513,368782.4,2459381
21080,368783.1,2459681.5
13042,368783.2,2460129.8
21899,368783.3,2459581.8
21498,368783.9,2459634.2
22324,368783.9,2459534
13193,368784,2460157.5
12300,368784.1,2459931.5
13670,368784.6,2460282
13823,368785.2,2460306.5
13989,368785.4,2460358.2
13470,368785.7,2460235.2
13234,368785.8,2460182.5
12998,368785.9,2460108.8
12602,368786.4,2460008.5
12426,368786.4,2459956.5
20104,368786.5,2459807.5
19680,368786.6,2459856
12789,368786.8,2460056.2
21028,368787.5,2459706.5
23117,368787.7,2459456.2
20499,368788.3,2459756.2
20679,368788.7,2459729.8
21855,368788.8,2459607.5
21071,368806.7,2459681.5
21491,368806.8,2459633.8
23190,368807.1,2459430.8
19748,368807.2,2459831
19386,368807.9,2459881.5
13845,368808.7,2460333.2
13459,368808.7,2460231.8
12463,368808.8,2459978
13830,368808.9,2460309.5
13644,368809.1,2460257.2
12433,368809.2,2459958.2
22314,368809.2,2459532.5
20161,368809.3,2459781
13203,368809.5,2460158
12637,368809.5,2460031
13007,368809.6,2460109.5
13227,368809.8,2460182.5
12607,368810,2460008.5
13995,368810.3,2460357.5
13405,368810.4,2460209.2
23127,368810.5,2459457
23487,368811.2,2459407.5
22271,368812.5,2459556
21864,368812.7,2459607.8
22776,368812.7,2459508
19354,368812.8,2459907.5
12801,368812.9,2460058
20114,368812.9,2459807.8
20509,368813.1,2459757
21450,368813.4,2459656.5
13837,368830.5,2460331.8
23181,368831.3,2459430.5
12831,368831.8,2460084.8
19739,368832.2,2459830
21481,368832.4,2459628.2
12290,368832.5,2459931.5
12440,368832.7,2459959.5
22306,368832.7,2459531
20152,368832.9,2459780.2
13415,368833.6,2460209.8
13651,368834.1,2460257.5
22801,368834.1,2459481.2
12630,368834.4,2460030.5
12456,368834.5,2459983.5
21889,368834.5,2459579.5
23504,368834.5,2459378.5
12808,368834.7,2460058.8
13449,368834.8,2460228.5
13032,368834.9,2460131.5
20537,368835.8,2459732
13220,368836,2460182.2
21460,368836.1,2459656
13659,368836.2,2460285.5
23494,368836.4,2459407.5
19361,368837.4,2459907.5
19692,368837.6,2459857
22280,368837.6,2459558
22785,368837.7,2459508
21039,368837.8,2459706
20124,368838,2459808
20142,368856.8,2459778.5
23173,368857.3,2459431
23141,368857.6,2459457
22298,368857.8,2459529.5
21061,368858.3,2459680.5
19731,368858.6,2459829.5
19378,368858.8,2459879.8
13212,368858.9,2460157.2
22793,368858.9,2459507.5
4310,368859.1,2460257.8
4056,368859.1,2459383
4302,368859.2,2460283
12449,368859.5,2459981.5
4050,368859.6,2459403.8
12822,368859.7,2460083
21879,368859.7,2459578.2
21471,368859.8,2459630.5
13016,368859.9,2460110
4293,368860.4,2460310
12616,368860.5,2460008
4286,368861.2,2460333
4328,368861.5,2460185
13024,368861.5,2460134.5
12284,368861.5,2459933.5
12624,368861.8,2460032.2
22288,368862.4,2459558.2
20130,368862.5,2459807
20520,368862.5,2459758.2
21049,368862.9,2459706
19366,368863.4,2459908
3526,368882.3,2460209.5
3710,368882.4,2460158
3002,368883.1,2460330
3336,368883.2,2460257.5
4339,368883.2,2460108
5739,368883.5,2459758
5242,368883.6,2459933.5
2552,368883.6,2459385
4523,368883.8,2460056.8
2995,368883.9,2460358.8
5060,368884,2459958
6485,368884,2459557.2
6700,368884.1,2459507.5
3344,368884.2,2460231.2
5862,368884.4,2459733
6271,368884.5,2459607.2
5449,368884.7,2459882
6259,368884.7,2459633
6691,368884.8,2459530.5
4876,368885,2460008
5461,368885.1,2459854
3718,368885.2,2460131.5
5638,368885.5,2459806.5
4871,368885.8,2460031.2
6063,368885.9,2459653.5
6903,368886.2,2459483.5
5632,368886.5,2459833
6916,368886.5,2459455.2
2544,368887,2459409
6053,368887.1,2459681.8
3172,368887.2,2460279
6068,368906.5,2459654
2990,368907.3,2460359.2
3009,368907.6,2460329.5
5237,368907.9,2459933.5
4347,368908.2,2460104.8
4511,368908.2,2460081.2
4529,368908.3,2460057.5
5743,368908.3,2459755.5
6495,368908.5,2459556.2
6278,368908.6,2459605
2559,368908.6,2459385.5
3535,368908.7,2460181.8
5469,368908.7,2459856.5
5870,368908.7,2459703.5
3163,368908.8,2460307.5
3517,368909.2,2460208
5067,368909.4,2459955.2
4040,368909.5,2459431.5
3329,368909.8,2460258.5
3724,368909.8,2460130.8
5628,368910.2,2459833.2
6709,368910.5,2459505.8
5255,368910.6,2459907.2
6046,368910.6,2459681.8
5856,368911.5,2459733.5
6474,368911.5,2459582
6894,368911.5,2459483
5045,368912.5,2459982
3351,368912.6,2460231.2
5731,368912.8,2459782.8
3154,368930.2,2460308
4033,368932.3,2459432
3541,368932.4,2460181
3702,368933.2,2460157.5
6288,368933.2,2459605.5
3509,368933.6,2460206.8
6886,368934.5,2459482.5
