id,file_id,line,point,fleet_nr,vibrator,drive,avg_phase,peak_phase,avg_dist,peak_dist,avg_force,peak_force,avg_stiffness,avg_viscosity,easting,northing,elevation,time_break,hdop,tb_date,positioning,distance,time,velocity,dense_flag
7890994,311,4819,1821, ,13,75,2,7,11,29,60,78,7,3,531718.6,2373743.2,112.5,2023/10/24 01:15:52.928,0.6,"    1698081352928000","
",20.2417884585907,12.5,1.61934307668726,0
7891000,311,4821,1821, ,13,75,2,7,10,22,60,79,8,3,531738.8,2373744.5,112.3,2023/10/24 01:16:17.664,0.6,"    1698081377664000","
",26.9313943195391,13.5,1.99491809774364,0
7891007,311,4823,1821, ,13,75,2,7,10,18,66,79,12,5,531765.7,2373745.8,112.3,2023/10/24 01:16:43.336,0.6,"    1698081403336000","
",26.1068956408918,13.5,1.93384412154754,0
7891015,311,4825,1821, ,13,75,1,8,12,30,62,78,9,4,531791.8,2373745.2,112.7,2023/10/24 01:17:08.400,0.6,"    1698081428400000","
",50.1482801300153,18.5,2.71071784486569,0
7891024,311,4829,1821, ,13,75,2,8,11,22,62,77,9,4,531841.9,2373743,112.2,2023/10/24 01:17:38.672,0.6,"    1698081458672000","
",25.7856549266835,18.5,1.39381918522614,0
7891030,311,4831,1821, ,13,75,2,8,8,12,68,79,10,5,531867.6,2373745.1,112.1,2023/10/24 01:18:08.704,0.7,"    1698081488704000","
",22.3056046766657,18.5,1.20570836090085,0
7891038,311,4831,1823, ,13,75,2,7,12,26,63,77,10,4,531867.1,2373767.4,112.5,2023/10/24 01:18:39.504,0.6,"    1698081519504000","
",26.9224813121201,18.5,1.4552692601146,0
7891046,311,4829,1823, ,13,75,2,7,11,22,66,81,12,6,531840.2,2373768.5,112.5,2023/10/24 01:19:09.776,0.6,"    1698081549776000","
",45.5001098899774,18.5,2.45946539945824,0
7891052,311,4825,1823, ,13,75,2,8,13,37,60,77,10,4,531794.7,2373768.4,112.7,2023/10/24 01:19:40.304,0.7,"    1698081580304000","
",28.2842712474619,15.5,1.82479169338464,0
7891060,311,4823,1823, ,13,75,1,8,12,23,64,78,10,4,531766.7,2373772.4,112.7,2023/10/24 01:20:07.528,0.7,"    1698081607528000","
",24.3999999999069,16.5,1.47878787878223,0
7891066,311,4821,1823, ,13,75,2,7,10,20,67,79,14,6,531742.3,2373772.4,112.5,2023/10/24 01:20:35.744,0.6,"    1698081635744000","
",50.9901951359662,22.5,2.26623089493183,0
7891074,311,4817,1823, ,13,75,1,8,11,18,64,79,10,4,531691.5,2373768,112.4,2023/10/24 01:21:10.120,0.6,"    1698081670120000","
",50.0000999999002,20.5,2.43902926828781,0
7891308,311,4817,1825, ,13,75,1,6,10,17,65,76,14,6,531692.4,2373792.8,112.4,2023/10/24 01:36:31.832,0.6,"    1698082591832000","
",26.0069221554591,13.5,1.92643867818216,0
7891313,311,4819,1825, ,13,75,1,8,15,41,54,82,5,2,531718.4,2373793.4,112.7,2023/10/24 01:36:57.520,0.6,"    1698082617520000","
",49.301622691277,19.5,2.52828834314241,0
